id,label,degree,weighted degree,betweenness,modularity class,pagerank,eigencentrality,label long
Maegor-I-Targaryen,Maegor I Targaryen,4,15,504,5,0.001577874,0.10608619,Maegor I Targaryen
Maggy,Maggy,2,8,0,5,9.36E-04,0.067808176,Maggy
Mark-Mullendore,Mark Mullendore,1,3,0,5,5.50E-04,0.060458583,Mark Mullendore
Melara-Hetherspoon,Melara Hetherspoon,4,15,522.820671,5,0.001816339,0.115414911,Melara Hetherspoon
Moon-Boy,Moon Boy,3,28,0,5,0.001062379,0.090712204,Moon Boy
Olenna-Redwyne,Olenna Redwyne,4,16,0,5,0.00132503,0.161981088,Olenna Redwyne
Osfryd-Kettleblack,Osfryd Kettleblack,3,18,0,5,0.00102793,0.095658922,Osfryd Kettleblack
Pycelle,Pycelle,17,106,1683.640323,5,0.004880777,0.40287423,Pycelle
Rafford,Rafford,6,38,15.36514776,5,0.00185433,0.152015828,Rafford
Raynard,Raynard,2,7,504,5,0.001255344,0.061375188,Raynard
Senelle,Senelle,2,12,0,5,7.90E-04,0.086833827,Senelle
Taena-of-Myr,Taena of Myr,12,105,143.167954,5,0.003293303,0.321196205,Taena of Myr
Unella,Unella,4,43,1,5,0.001489797,0.081198193,Unella
Varys,Varys,9,55,1240.693929,7,0.002655278,0.291390615,Varys
Walder-Frey,Walder Frey,5,20,393.2149619,5,0.001734104,0.143789793,Walder Frey
Clement-Piper,Clement Piper,1,3,0,5,5.85E-04,0.049395713,Clement Piper
Cleos-Frey,Cleos Frey,1,4,0,5,5.85E-04,0.049395713,Cleos Frey
Colemon,Colemon,4,23,5.414285714,8,0.001458489,0.031345551,Colemon
Gretchel,Gretchel,4,21,34.66243998,8,0.00145789,0.042676915,Gretchel
Maddy,Maddy,5,28,134.9756386,8,0.001787907,0.044542157,Maddy
Robert-Arryn,Robert Arryn,15,101,2018.025873,8,0.005139875,0.089352157,Robert Arryn
Craster,Craster,4,20,0.458333333,0,0.001560829,0.060495089,Craster
Jeor-Mormont,Jeor Mormont,4,20,0.333333333,0,0.001606568,0.057100162,Jeor Mormont
Shadrich,Shadrich,2,7,31.73646354,8,9.92E-04,0.051980916,Shadrich
Daemon-Sand,Daemon Sand,2,6,0,4,8.25E-04,0.021627869,Daemon Sand
Dalla,Dalla,5,28,17.59456659,0,0.001749805,0.093347451,Dalla
Lanna-(Happy-Port),Lanna (Happy Port),1,4,0,0,6.65E-04,0.00375168,Lanna (Happy Port)
Eustace-Brune,Eustace Brune,1,3,0,8,6.48E-04,0.006132527,Eustace Brune
Nymeria-Sand,Nymeria Sand,4,40,6.601469364,4,0.001384777,0.029990288,Nymeria Sand
Eddison-Tollett,Eddison Tollett,9,68,68.2961039,0,0.003163362,0.088416241,Eddison Tollett
Forley-Prester,Forley Prester,2,6,0,5,8.64E-04,0.015906876,Forley Prester
Roslin-Frey,Roslin Frey,2,7,0,5,8.72E-04,0.017335798,Roslin Frey
Walder-Rivers,Walder Rivers,3,17,0,5,0.001199812,0.059919211,Walder Rivers
Elia-Martell,Elia Martell,4,16,504.2857143,7,0.001654081,0.05820905,Elia Martell
Genna-Lannister,Genna Lannister,3,15,0,5,0.001118907,0.086078287,Genna Lannister
Hotho-Harlaw,Hotho Harlaw,4,16,82.23714664,1,0.001894899,0.019624993,Hotho Harlaw
Humfrey-Hewett,Humfrey Hewett,2,7,0,1,0.001063099,0.014770957,Humfrey Hewett
Nute,Nute,4,24,2.833333333,1,0.001902451,0.0200316,Nute
