id,label,top label,degree,weighted degree,modularity class,eigencentrality,pagerank,betweenness
Vargo-Hoat,Vargo Hoat,,6,35,7,0.090301362,0.003245938,192.2728432
Rickon-Stark,Rickon Stark,,7,78,8,0.174435704,0.003218721,29.63913777
Kegs,Kegs,,7,29,2,0.066611851,0.003191861,4.736652237
Osmund-Kettleblack,Osmund Kettleblack,,8,42,0,0.282925389,0.003180483,2.928907204
Brynden-Tully,Brynden Tully,,7,39,1,0.171664132,0.00314613,17.8016441
Alliser-Thorne,Alliser Thorne,,7,55,2,0.120214876,0.003104712,19.40337226
Mero,Mero,,4,24,6,0.014642439,0.003065675,301
Hobb,Hobb,,7,25,2,0.064504523,0.003056851,10.10711208
Greenbeard,Greenbeard,,7,44,5,0.085160747,0.003032774,1.019047619
Garlan-Tyrell,Garlan Tyrell,,6,34,0,0.179065109,0.002986042,304.0537445
Jojen-Reed,Jojen Reed,,6,122,8,0.054165991,0.002980016,26.32827127
Harwin,Harwin,,7,53,5,0.104281343,0.002970816,0.595238095
Small-Paul,Small Paul,,6,44,2,0.048464489,0.002955782,6.441872299
Pycelle,Pycelle,,7,41,0,0.222178257,0.002958686,3.845970696
Lark,Lark,,5,26,2,0.036195571,0.002947781,301
Dywen,Dywen,,6,27,2,0.048797913,0.002931286,18.94817911
Selyse-Florent,Selyse Florent,,6,42,3,0.106499824,0.00289127,24.33078641
Spare-Boot,Spare Boot,,6,23,2,0.054602024,0.002880437,0.5
Walton,Walton,,5,34,7,0.084221746,0.002865417,301
Boros-Blount,Boros Blount,,7,37,0,0.205687859,0.002842251,1.46978022
Rickard-Karstark,Rickard Karstark,,6,42,1,0.140753932,0.002465285,19.93793886
Barristan-Selmy,Barristan Selmy,,5,27,6,0.087797831,0.002827709,643.3453432
Helman-Tallhart,Helman Tallhart,,3,10,9,0.029114349,0.002809735,897
Willem-Lannister,Willem Lannister,,4,15,1,0.056445908,0.002796511,329.3906199
Jeyne-Westerling,Jeyne Westerling,,5,46,1,0.090613254,0.002777766,195.7257449
Lollys-Stokeworth,Lollys Stokeworth,,6,31,0,0.113489589,0.002771593,2.776923077
Pylos,Pylos,,5,35,3,0.052086521,0.002746152,1.333333333
Tansy,Tansy,,6,25,1,0.088748382,0.00274634,52.3699631
Gerold-Hightower,Gerold Hightower,,4,17,7,0.051791955,0.002737079,775.0062488
Drogo,Drogo,,4,21,6,0.015802232,0.002677598,0
Alester-Florent,Alester Florent,,5,26,3,0.049817081,0.00263236,44.51373357
Jhogo,Jhogo,,3,12,6,0.009589074,0.002622132,150
Rakharo,Rakharo,,3,14,6,0.009589074,0.002622132,150
Salladhor-Saan,Salladhor Saan,,5,41,3,0.053606845,0.002618474,0.666666667
Missandei,Missandei,,4,38,6,0.015856467,0.002614796,0
Chett,Chett,,5,30,2,0.042151848,0.002573919,3.177777778
Robert-Arryn,Robert Arryn,,5,26,0,0.086696345,0.002572778,12.92329963
Meera-Reed,Meera Reed,,5,124,8,0.046844304,0.002557294,13.59799493
Balon-Swann,Balon Swann,,6,26,0,0.19114289,0.002529946,3.143111114
Hareth-(Moles-Town),Hareth (Moles Town),,5,22,2,0.047702527,0.002499689,0.2
Mully,Mully,,5,17,2,0.050140162,0.002479435,0.3
Smiling-Knight,Smiling Knight,,2,7,7,0.00281738,0.002441787,301
Roslin-Frey,Roslin Frey,,5,36,1,0.101971936,0.002446513,0
Bedwyck,Bedwyck,,5,18,2,0.043178806,0.002416398,0.622222222
Andrew-Estermont,Andrew Estermont,,3,11,3,0.014690626,0.002395251,301
Hot-Pie,Hot Pie,,5,69,5,0.064853939,0.002368639,41.17732914
Amory-Lorch,Amory Lorch,,5,19,0,0.128286351,0.002345995,11.61285216
Lamprey,Lamprey,,4,19,3,0.018628184,0.002335405,0.333333333
Randyll-Tarly,Randyll Tarly,,2,6,9,0.003189193,0.002299225,0
Podrick-Payne,Podrick Payne,,5,58,0,0.156373462,0.001877825,1.295621046
Desmond-Grell,Desmond Grell,,4,20,1,0.0861481,0.002232503,4.747707337
Maege-Mormont,Maege Mormont,,4,15,1,0.082733601,0.002223857,0.583333333
Jonothor-Darry,Jonothor Darry,,2,6,7,0.002120414,0.002188319,0
Oswell-Whent,Oswell Whent,,2,6,7,0.002120414,0.002188319,0
Ben-Plumm,Ben Plumm,,3,18,6,0.01209393,0.002188165,1.6
Aegon-Frey-(son-of-Stevron),Aegon Frey (son of Stevron),,4,18,1,0.084181262,0.002192532,3.460843731
Val,Val,,4,31,2,0.052890249,0.002170916,0.333333333
Nan,Nan,,3,26,8,0.057000902,0.002156908,301
Ryk,Ryk,,4,29,2,0.047973674,0.002136587,0
Qyburn,Qyburn,,4,31,7,0.083473218,0.002076486,0
Paxter-Redwyne,Paxter Redwyne,,4,21,0,0.124611376,0.002056556,87.04520924
Marq-Piper,Marq Piper,,4,14,1,0.091841867,0.002055547,0
Theon-Greyjoy,Theon Greyjoy,,4,36,8,0.096315851,0.002052443,9.154004329
Halder,Halder,,2,6,2,0.031149248,0.002038328,301
Jason-Mallister,Jason Mallister,,2,8,1,0.033979892,0.002037657,301
Sharna,Sharna,,4,15,5,0.027064054,0.002001856,0.25
Aegon-I-Targaryen,Aegon I Targaryen,,3,11,3,0.037455887,0.001999123,341.2840841
Benjen-Stark,Benjen Stark,,4,12,8,0.091327826,0.001992929,66.60047993
Aggo,Aggo,,2,7,6,0.002824661,0.001981813,0
Robin-Flint,Robin Flint,,3,9,1,0.046120727,0.001979573,77.90927436
Ballabar,Ballabar,,2,8,0,0.05426132,0.00197114,301
Clydas,Clydas,,4,38,2,0.064685837,0.001966802,7.756535846
Alla-Tyrell,Alla Tyrell,,3,15,4,0.051036457,0.001963564,0
Elinor-Tyrell,Elinor Tyrell,,3,18,4,0.051036457,0.001963564,0
Megga-Tyrell,Megga Tyrell,,3,20,4,0.051036457,0.001963564,0
Tanda-Stokeworth,Tanda Stokeworth,,4,18,0,0.116978796,0.001960636,3.010912698
Prendahl-na-Ghezn,Prendahl na Ghezn,,2,9,6,0.003266046,0.001893653,0
Sallor,Sallor,,2,9,6,0.003266046,0.001893653,0
Raynald-Westerling,Raynald Westerling,,3,16,1,0.073638772,0.00189025,4.097707337
Porridge,Porridge,,3,14,3,0.015330382,0.001857745,0
Myrcella-Baratheon,Myrcella Baratheon,,4,21,0,0.169638164,0.001850941,0
Mandon-Moore,Mandon Moore,,4,13,0,0.130815704,0.001840036,0
Stevron-Frey,Stevron Frey,,3,11,1,0.048535345,0.001834907,0.333333333
Grigg,Grigg,,3,15,2,0.038564306,0.001806037,0.333333333
Errok,Errok,,3,14,2,0.038672159,0.001803816,0.333333333
Cleon,Cleon,,2,9,6,0.008559018,0.001802204,0
Ghael,Ghael,,2,8,6,0.008559018,0.001802204,0
Devan-Seaworth,Devan Seaworth,,3,12,3,0.040638842,0.001765846,0
Dacey-Mormont,Dacey Mormont,,3,11,1,0.075848744,0.001754242,0
Khorane-Sathmantes,Khorane Sathmantes,,3,11,3,0.040738731,0.001744148,0
Dalla,Dalla,,3,23,2,0.047993796,0.001728401,0
Hodor,Hodor,,3,123,8,0.026069822,0.001731446,0
Lothor-Brune,Lothor Brune,,3,14,0,0.071841966,0.001702446,0
Varamyr,Varamyr,,3,16,2,0.049366437,0.001689265,0
Marillion,Marillion,,3,25,0,0.067150095,0.001656399,0
Gawen-Westerling,Gawen Westerling,,2,6,1,0.008234068,0.001645492,0.5
Jon-Arryn,Jon Arryn,,3,11,0,0.05299292,0.001643286,17.71917698
Brandon-Stark,Brandon Stark,,3,14,1,0.073237227,0.001632978,0
Balon-Greyjoy,Balon Greyjoy,,3,14,1,0.098330884,0.001605276,0
Symon-Silver-Tongue,Symon Silver Tongue,,3,13,0,0.072521051,0.001604618,0
Illyrio-Mopatis,Illyrio Mopatis,,2,11,6,0.005237363,0.001598209,0
Cleos-Frey,Cleos Frey,,3,41,7,0.094182053,0.001599719,0
Oznak-zo-Pahl,Oznak zo Pahl,,2,12,6,0.009745506,0.00159474,0
Sybell-Spicer,Sybell Spicer,,2,6,1,0.038673196,0.001595867,104.2742551
Gyles-Rosby,Gyles Rosby,,2,7,0,0.012572774,0.00158869,0
Jalabhar-Xho,Jalabhar Xho,,2,7,0,0.012572774,0.00158869,0
Kraznys-mo-Nakloz,Kraznys mo Nakloz,,2,19,6,0.010088174,0.001580316,0
Zollo,Zollo,,2,8,7,0.009015157,0.001552766,0
Grey-Worm,Grey Worm,,2,18,6,0.011117604,0.001546145,0
Simon-Toyne,Simon Toyne,,1,3,7,8.68E-04,0.001535024,0
Gendel,Gendel,,2,6,2,0.03290566,0.001531869,0
Gorne,Gorne,,2,6,2,0.03290566,0.001531869,0
Doran-Martell,Doran Martell,,3,17,0,0.100726016,0.001528911,0
High-Septon-(Tyrions),High Septon (Tyrions),,3,12,0,0.117529085,0.001516854,0
Ellaria-Sand,Ellaria Sand,,3,15,0,0.114255094,0.001513018,0
Baelor-I-Targaryen,Baelor I Targaryen,,3,9,0,0.138706937,0.001507599,0
Galbart-Glover,Galbart Glover,,1,3,9,9.94E-04,0.001502252,0
Wendel-Manderly,Wendel Manderly,,2,6,1,0.010470724,0.001501135,0
Alayaya,Alayaya,,3,10,0,0.109917875,0.001491238,0
Mycah,Mycah,,3,15,5,0.114646759,0.00146565,0
Shagwell,Shagwell,,2,8,7,0.046502592,0.001449387,0
Martyn-Lannister,Martyn Lannister,,2,6,1,0.036366017,0.001433239,6.80357517
Rollam-Westerling,Rollam Westerling,,2,7,1,0.042062064,0.001431955,0
Rhaella-Targaryen,Rhaella Targaryen,,2,6,6,0.012262283,0.001411853,0
Torrhen-Stark,Torrhen Stark,,2,6,3,0.02877154,0.00140738,5.635185267
Utherydes-Wayn,Utherydes Wayn,,2,9,1,0.042768593,0.001370789,0
Olyvar-Frey,Olyvar Frey,,2,12,1,0.043409468,0.001368967,0
Todder,Todder,,1,3,2,0.002412362,0.001361534,0
Tytos-Blackwood,Tytos Blackwood,,1,3,1,0.002403183,0.001361279,0
Petyr-Frey,Petyr Frey,,2,8,1,0.015980196,0.00135862,0.333333333
Jon-Umber-(Smalljon),Jon Umber (Smalljon),,2,9,1,0.044880217,0.001341517,0
Frenken,Frenken,,1,4,0,0.003367498,0.001332893,0
Guncer-Sunglass,Guncer Sunglass,,2,7,3,0.018105496,0.001331848,0
Weeper,Weeper,,2,8,2,0.011134976,0.00132443,0
Merrett-Frey,Merrett Frey,,2,6,0,0.02587579,0.001319599,1.390151515
Walder-Rivers,Walder Rivers,,2,7,1,0.046127657,0.001302015,0
Mathis-Rowan,Mathis Rowan,,2,11,0,0.024444472,0.001300013,1.467857143
Big-Boil,Big Boil,,2,6,2,0.036317024,0.001297165,0
