id,label,degree,weighted degree,pagerank,betweenness,modularity class,eigencentrality,top label
Howland-Reed,Howland Reed,1,3,0.001096422,0,5,0.023125084,
Luwin,Luwin,12,158,0.00681319,159.2724812,5,0.185670268,Luwin
Meera-Reed,Meera,6,80,0.00353254,0,5,0.07461206,
Osha,Osha,9,86,0.005246419,55.59093997,5,0.137042521,
Poxy-Tym,Poxy Tym,1,3,0.001096422,0,5,0.023125084,
Ramsay-Snow,Ramsay Snow,6,48,0.006447025,1212.698564,5,0.11763055,
Stafford-Lannister,Stafford Lannister,4,14,0.002474169,2.485808109,3,0.136564514,
Walder-Frey-(son-of-Jammos),Walder Frey (son of Jamos),2,10,0.001662201,0,5,0.028213565,
Walder-Frey-(son-of-Merrett),Walder Frey (son of Merrett),6,33,0.003993564,53.53793381,5,0.070413913,
Wyman-Manderly,Wyman Manderly,4,18,0.002605996,7.665012475,5,0.083402852,
Brienne-of-Tarth,Brienne,10,96,0.006164378,383.5285621,3,0.205670081,Brienne
Edmure-Tully,Edmure Tully,7,50,0.004156945,54.65876634,3,0.161304006,
Emmon-Cuy,Emmon Cuy,3,14,0.002190699,3.830891331,3,0.052105023,
Robar-Royce,Robar Royce,3,13,0.002193189,8.698996265,3,0.053251626,
Selwyn-Tarth,Selwyn Tarth,1,4,0.001103104,0,3,0.012155629,
Vyman,Vyman,3,10,0.002188262,0.866666667,3,0.053188136,
Bronn,Bronn,10,94,0.005037234,38.65477476,2,0.287422562,
Jacelyn-Bywater,Jacelyn Bywater,9,55,0.004373191,2.751190476,2,0.26930917,
Timett,Timett,4,22,0.002524498,2.292735043,2,0.10269429,
Bryce-Caron,Bryce Caron,5,21,0.003909126,516.8916667,3,0.090359472,
Eldon-Estermont,Eldon Estermont,2,6,0.002717806,257,3,0.00647988,
Guyard-Morrigen,Guyard Morrigen,2,12,0.001709877,0,3,0.042072787,
Brynden-Tully,Brynden Tully,3,14,0.001945654,0,3,0.108734118,
Captain-Myraham,Captain Myraham,1,4,0.001201818,0,5,0.019398736,
Captain-Myraham-Daughter,Myraham's Daughter,1,3,0.001201818,0,5,0.019398736,
Cleos-Frey,Cleos Frey,6,41,0.003236528,0.142857143,2,0.254121882,
Colen-of-Greenpools,Colen of Greenpools,2,9,0.001514769,0,3,0.073859241,
Desmond-Grell,Desmond-Grell,3,10,0.00227258,0.5,3,0.04998608,
Hallis-Mollen,Hallis Mollen,2,9,0.001859256,0,3,0.040811325,
Hoster-Tully,Hoster Tully,3,11,0.002173301,0.333333333,3,0.050715964,
Loras-Tyrell,Loras Tyrell,8,47,0.004456275,79.84734025,3,0.272781393,
Lysa-Arryn,Lysa Arryn,3,17,0.001892415,0,3,0.143639359,
Margaery-Tyrell,Margaery,5,30,0.002748205,1.193589744,3,0.196844989,
Mathis-Rowan,Mathis Rowan,5,21,0.003582357,257,3,0.122335776,
Utherydes-Wayn,Utherydes Wayn,2,6,0.001692438,0,3,0.040991489,
Wendel-Manderly,Wendel Manderly,4,16,0.003814946,262.8452381,3,0.044431101,
Lancel-Lannister,Lancel Lannister,7,55,0.003516253,5.623644629,2,0.28143011,
Osfryd-Kettleblack,Osfryd Kettleblack,1,7,9.73E-04,0,2,0.053378072,
Osney-Kettleblack,Osney Kettleblack,2,7,0.001417275,0,2,0.066638277,
Petyr-Baelish,Littlefinger,12,137,0.005883937,52.4238392,2,0.410265242,Littlefinger
Preston-Greenfield,Preston Greenfield,2,6,0.001423007,0,2,0.106098359,
Pycelle,Pycelle,8,60,0.004222725,64.77918458,2,0.295144212,
Shae,Shae,6,61,0.003406551,17.82296592,2,0.185855364,
Vylarr,Vylarr,2,9,0.001423007,0,2,0.106098359,
Chataya,Chataya,1,6,0.001029461,0,2,0.052720288,
Chella,Chella,3,11,0.001928881,0,2,0.092270598,
Chett,Chett,1,5,0.001148786,0,0,0.019409336,
Craster,Craster,7,73,0.005016113,5.983333333,0,0.040770673,
Dywen,Dywen,3,24,0.002481475,54.09086329,0,0.024762827,
Eddison-Tollett,Eddison Tollett,3,18,0.002370797,0,0,0.029120088,
Mance-Rayder,Mance Rayder,5,19,0.003591627,0.25,0,0.036777457,
Thoren-Smallwood,Thoren Smallwood,7,34,0.005030012,81.88646041,0,0.0404128,
Cressen,Cressen,9,80,0.005775977,320.1528525,3,0.140577836,
Melisandre,Melisandre,5,51,0.003271602,2.55952381,3,0.097157036,
Patchface,Patchface,2,14,0.00159529,0,3,0.048276931,
Pylos,Pylos,4,42,0.002942307,46.19697812,3,0.058314849,
Shireen-Baratheon,Shireen,2,11,0.001749866,0,3,0.012871406,
Cutjack,Cutjack,3,10,0.004079484,513,4,0.007945863,
Kurz,Kurz,1,4,0.001736339,0,4,0.001306252,
Tarber,Tarber,1,3,0.001736339,0,4,0.001306252,
Doreah,Doreah,1,3,0.001309472,0,1,0.006590602,
Drogo,Drogo,4,19,0.003426204,4.657575758,1,0.015320383,
Irri,Irri,2,9,0.002277575,0,1,0.007879055,
Jhiqui,Jhiqui,2,10,0.002277575,0,1,0.007879055,
Lynesse-Hightower,Lynesse Hightower,1,3,0.001309472,0,1,0.006590602,
Mirri-Maz-Duur,Mirri Maz Duur,1,3,0.001309472,0,1,0.006590602,
Pono,Pono,3,11,0.002651373,0,1,0.013867247,
Pyat-Pree,Pyat Pree,2,24,0.002277575,0,1,0.007879055,
Quaithe,Quaithe,1,5,0.001309472,0,1,0.006590602,
Viserys-Targaryen,Viserys,3,9,0.002652614,3.75,1,0.012300994,
Xaro-Xhoan-Daxos,Xaro Xhoan Daxos,2,23,0.002277575,0,1,0.007879055,
Dalbridge,Dalbridge,3,13,0.002423637,0,0,0.025977657,
Ebben,Ebben,4,26,0.003128524,0.333333333,0,0.028382995,
Qhorin-Halfhand,Qhorin Halfhand,8,88,0.005740056,19.8,0,0.042503469,
Devan-Seaworth,Devan Seaworth,3,20,0.002119339,0,3,0.084382443,
Imry-Florent,Imry Florent,1,3,0.001182483,0,3,0.008585104,
Matthos-Seaworth,Matthos Seaworth,1,3,0.001182483,0,3,0.008585104,
Salladhor-Saan,Salladhor Saan,2,14,0.001653128,0,3,0.048064202,
Dolf,Dolf,1,3,0.001229203,0,2,0.004892847,
