id,label,degree,weighted degree,betweenness,modularity class,pagerank,eigencentrality,short label,modularity_class,top label
Kurleket,Kurleket,1,5,0,6,0.001412257,0.03908757,Kurleket,2,
Lancel-Lannister,Lancel Lannister,1,3,0,5,0.001309099,0.045876311,Lancel Lannister,4,
Leo-Lefford,Leo Lefford,1,4,0,6,0.001412257,0.03908757,Leo Lefford,2,
Loras-Tyrell,Loras Tyrell,14,78,385.5567751,4,0.008930939,0.354833319,Loras Tyrell,0,
Luwin,Luwin,18,210,226.8074972,0,0.011512677,0.35348593,Luwin,1,Luwin
Lyanna-Stark,Lyanna Stark,4,36,0.571428571,5,0.003015963,0.142451222,Lyanna Stark,4,
Lyn-Corbray,Lyn Corbray,1,3,0,6,0.001385963,0.016499526,Lyn Corbray,2,
Lysa-Arryn,Lysa Arryn,15,138,313.3586492,6,0.010303535,0.322468964,Lysa Arryn,2,Lysa
Mace-Tyrell,Mace Tyrell,2,6,185,4,0.003171991,0.018318152,Mace Tyrell,0,
Maege-Mormont,Maege Mormont,2,8,0,0,0.001969043,0.019271581,Maege Mormont,1,
Maegor-I-Targaryen,Maegor I Targaryen,1,4,0,4,0.001287713,0.03792419,Maegor I,0,
Mance-Rayder,Mance Rayder,1,3,0,3,0.001406648,0.015973062,Mance Rayder,6,
Marillion,Marillion,5,29,0,6,0.003834727,0.113840364,Marillion,2,
Marq-Piper,Marq Piper,5,18,107.306616,6,0.004097723,0.105022674,Marq Piper,0,
Masha-Heddle,Masha Heddle,1,5,0,6,0.001398902,0.036930857,Masha Heddle,2,
Matthar,Matthar,1,3,0,3,0.001418799,0.030817255,Matthar,6,
Meryn-Trant,Meryn Trant,9,36,12.01617788,4,0.005443299,0.238302177,Meryn Trant,0,
Mirri-Maz-Duur,Mirri Maz Duur,6,63,0.833333333,1,0.004598993,0.034398652,Mirri,3,
Mord,Mord,1,20,0,6,0.001412257,0.03908757,Mord,2,
Mordane,Mordane,11,141,18.17132841,4,0.006493989,0.342190085,Mordane,0,Septa Mordane
Moreo-Tumitis,Moreo Tumitis,1,3,0,6,0.001398902,0.036930857,Moreo Tumitis,2,
Morrec,Morrec,2,10,0,6,0.002456212,0.041704404,Morrec,2,
Mya-Stone,Mya Stone,1,9,0,6,0.001398902,0.036930857,Mya Stone,2,
Mycah,Mycah,5,50,0,4,0.003332972,0.176155893,Mycah,0,
Mychel-Redfort,Mychel Redfort,1,3,0,6,0.001398902,0.036930857,Mychel Redfort,2,
Myrcella-Baratheon,Myrcella Baratheon,7,54,0.485714286,4,0.00427234,0.214008378,Myrcella,0,
Nan,Nan,4,33,0,0,0.00304618,0.089451266,Nan,1,
Nestor-Royce,Nestor Royce,2,6,0,6,0.001976324,0.048850923,Nestor Royce,2,
Ogo,Ogo,3,18,185,1,0.004313609,0.009367967,Ogo,3,
Osha,Osha,3,31,0,0,0.002398918,0.084511247,Osha,1,
Oswell-Whent,Oswell Whent,1,3,0,5,0.001733895,0.005887565,Oswell Whent,4,
Othor,Othor,1,5,0,3,0.001418799,0.030817255,Othor,6,
Paxter-Redwyne,Paxter Redwyne,1,3,0,4,0.002151047,0.001485349,Paxter Redwyne,0,
Petyr-Baelish,Petyr Baelish,26,313,162.3591668,5,0.01454746,0.665142446,Petyr,4,Littlefinger
Porther,Porther,1,4,0,5,0.001388061,0.050873836,Porther,4,
Pycelle,Pycelle,14,150,5.524020278,5,0.007849522,0.399194091,Pycelle,4,Pycelle
Pypar,Pypar,7,107,1.283333333,3,0.005424698,0.059456005,Pypar,6,Pyp
Qotho,Qotho,7,68,2,1,0.005360897,0.035922656,Qotho,3,
Quaro,Quaro,5,21,0.5,1,0.004052657,0.027243811,Quaro,3,
Rakharo,Rakharo,5,24,0.583333333,1,0.004072894,0.026845303,Rakharo,3,
Randyll-Tarly,Randyll Tarly,1,5,0,3,0.001463586,0.006763546,Randyll Tarly,6,
Rast,Rast,6,26,1.333333333,3,0.004810806,0.055110279,Rast,6,
Raymun-Darry,Raymun Darry,2,12,0,5,0.001895021,0.096750147,Raymun Darry,4,
Renly-Baratheon,Renly Baratheon,18,186,165.7734217,5,0.010403577,0.504628832,Renly,4,Renly
Rhaegar-Targaryen,Rhaegar Targaryen,7,53,48.52639611,5,0.004666634,0.182441335,Rhaegar,4,
Rhaego,Rhaego,1,5,0,1,0.001454412,0.007536448,Rhaego,3,
Rickard-Karstark,Rickard Karstark,10,46,162.9947004,0,0.006734855,0.225894008,Rickard Karstark,1,
Rickard-Stark,Rickard Stark,2,7,1.525570263,0,0.001967126,0.040698992,Rickard Stark,1,
Rickon-Stark,Rickon Stark,9,98,1.545806055,0,0.00578594,0.309773296,Rickon,1,
Robb-Stark,Robb Stark,35,516,1255.689656,0,0.021559187,0.65723863,Robb,1,Robb
Robert-Arryn,Robert Arryn,3,20,0,6,0.002592844,0.092517952,Robert Arryn,2,
Robert-Baratheon,Robert Baratheon,50,941,3682.391036,5,0.029825275,0.910722595,Robert,4,Robert
Rodrik-Cassel,Rodrik Cassel,18,124,165.7525243,6,0.010889493,0.461206454,Rodrik,2,Rodrik Cassel
Roose-Bolton,Roose Bolton,5,19,0.429166667,0,0.003609062,0.083862172,Roose Bolton,1,
Samwell-Tarly,Samwell Tarly,12,148,248.6059682,3,0.00933568,0.109936463,Samwell,6,Samwell
Sandor-Clegane,Sandor Clegane,16,135,107.319058,4,0.009300975,0.442031712,Sandor,0,Sandor
Sansa-Stark,Sansa Stark,35,545,639.0769144,4,0.019998051,0.766844918,Sansa,0,Sansa
Shae,Shae,2,15,0,6,0.002071178,0.047386443,Shae,2,
Shagga,Shagga,6,44,371.5,6,0.007457335,0.054392326,Shagga,2,
